"index","uuid","stage_started_datetime","stage_completed_datetime","stage_delta","prod_started_datetime","prod_completed_datetime","prod_delta"
10,08304d53-8c0c-49bd-ba2a-7420e0211201,2021-12-01 23:08:01.398035+00:00,2021-12-01 23:08:02.969602+00:00,1,2021-12-01 23:07:19.701581+00:00,2021-12-01 23:07:22.687313+00:00,2
11,efd4b9d4-36ea-4558-9fbe-a744c0211201,2021-12-01 23:55:06.125207+00:00,2021-12-01 23:55:07.341794+00:00,1,2021-12-01 23:54:08.849091+00:00,2021-12-01 23:54:10.805469+00:00,1
12,726a2707-61b1-41b9-8747-534f80211201,2021-12-01 23:48:11.075864+00:00,2021-12-01 23:48:16.281034+00:00,5,2021-12-01 23:47:46.988805+00:00,2021-12-01 23:47:54.478474+00:00,7
13,dfb6d2c8-6d0d-4a80-b54f-cde940211201,2021-12-01 23:53:18.030991+00:00,2021-12-01 23:53:28.981046+00:00,10,2021-12-01 23:53:08.767970+00:00,2021-12-01 23:53:13.852721+00:00,5
14,94a1baa9-06f9-453d-8270-fd9e60211201,2021-12-01 23:57:31.593810+00:00,2021-12-01 23:57:36.061038+00:00,4,2021-12-01 23:57:30.118009+00:00,2021-12-01 23:57:38.058348+00:00,7
15,dbc0721e-32a6-48aa-a881-40d830211202,2021-12-02 00:01:37.505767+00:00,2021-12-02 00:01:41.273070+00:00,3,2021-12-02 00:01:07.324959+00:00,2021-12-02 00:01:10.735937+00:00,3
16,4f66a189-cf54-4ca6-922f-06be00211202,2021-12-02 00:08:22.048009+00:00,2021-12-02 00:08:26.823241+00:00,4,2021-12-02 00:07:43.052494+00:00,2021-12-02 00:07:47.073408+00:00,4
17,8487e60e-b15d-4857-8e56-042500211201,2021-12-01 23:59:19.923832+00:00,2021-12-01 23:59:23.564550+00:00,3,2021-12-01 23:59:15.357997+00:00,2021-12-01 23:59:21.173530+00:00,5
18,2d0d4e62-d783-4a01-98f3-0515a0211202,2021-12-02 00:13:55.414748+00:00,2021-12-02 00:13:56.969697+00:00,1,2021-12-02 00:13:48.203330+00:00,2021-12-02 00:13:51.230174+00:00,3
19,87b59e82-9e6d-4665-b231-335f30211202,2021-12-02 00:08:21.823061+00:00,2021-12-02 00:08:25.941129+00:00,4,2021-12-02 00:07:42.904606+00:00,2021-12-02 00:07:47.705055+00:00,4
