"Time","processor.rule.act.timing.mean"
1638462300000,2620.384136841694
1638462600000,3739.4609568065703
1638462900000,1851.3036068676865
1638463200000,3297.262323810092
1638463500000,2080.6158811609935
1638463800000,2475.5181293860805
1638464100000,3218.2336226831367
1638464400000,3560.764236384325
1638464700000,3354.6587456173343
1638465000000,2245.80258823041
1638465300000,3480.5680746919825
1638465600000,2997.1981701032537
1638465900000,3611.821345514341
1638466200000,2979.7718407484745
1638466500000,3260.3818464583583
1638466800000,2928.534127367062
1638467100000,3229.154640652761
1638467400000,3159.0567841994452
1638467700000,4068.2823807438313
1638468000000,4101.859274598374
1638468300000,4194.101437022817
1638468600000,2216.620571271434
1638468900000,3168.183156153706
1638469200000,2825.691141452523
1638469500000,3687.033215179559
1638469800000,3106.4352547808894
1638470100000,3140.0663306134084
1638470400000,1819.9364453857372
1638470700000,4930.256623175274
1638471000000,4120.85274797733
1638471300000,3162.745112846096
1638471600000,0
1638471900000,5865.440761243658
1638472200000,3532.446836855817
1638472500000,3412.8961896452092
1638472800000,2910.3959321305056
1638473100000,3250.156726600897
1638473400000,3825.8861359523858
1638473700000,3631.271954201122
1638474000000,3844.1986057220456
1638474300000,2589.590637543492
1638474600000,2609.8739928158843
1638474900000,3097.5509728010434
1638475200000,2879.6446089559877
1638475500000,2582.1675342469894
1638475800000,3244.436304874855
1638476100000,2681.573555207938
1638476400000,2627.7385842718095
1638476700000,2819.6041262339395
1638477000000,2525.4181116139007
1638477300000,3911.9953144674755
1638477600000,4877.1289653442445
1638477900000,3304.0019843380737
1638478200000,4118.333139271969
1638478500000,3619.166513423827
1638478800000,3010.120950427548
1638479100000,4264.0312268750195
1638479400000,3952.567292062717
1638479700000,3169.625767538346
1638480000000,2868.6909095874807
1638480300000,2491.293225261097
1638480600000,2572.9300712000045
1638480900000,5104.502784869212
1638481200000,3008.9338561354098
1638481500000,1837.0359295099602
1638481800000,3871.311636059123
1638482100000,2308.290437074713
1638482400000,2108.0471950024357
1638482700000,3029.013456417327
1638483000000,2066.8572786764453
1638483300000,2549.979709965524
1638483600000,4164.379950526667
1638483900000,3480.8606602811665
1638484200000,2579.256718487398
1638484500000,4269.052683988626
1638484800000,2738.779356859956
1638485100000,2345.6127927175853
1638485400000,4026.4163269560645
1638485700000,3164.341801447012
1638486000000,4041.0338366769633
1638486300000,3779.9412874760883
1638486600000,3384.938109377769
1638486900000,2649.7234011927894
1638487200000,3189.015423826251
1638487500000,2654.9252497120006
1638487800000,2338.7508776834543
1638488100000,4221.911026488041
1638488400000,2836.0743391748656
